Date,Sales,Salesimp,Staunton Jams,Salesadj
10/10/2008,1002.28,1002.28,0,1002.28
10/11/2008,1293.32,1293.32,0,1293.32
10/12/2008,942.64,942.64,0,942.64
10/13/2008,501.41,501.41,0,501.41
10/14/2008,400.01,400.01,0,400.01
10/15/2008,804.65,804.65,0,804.65
10/16/2008,410.83,410.83,0,410.83
10/17/2008,585.12,585.12,0,585.12
10/18/2008,789.9,789.9,0,789.9
10/19/2008,326.8,326.8,0,326.8
10/20/2008,311.2,311.2,0,311.2
10/21/2008,321.88,321.88,0,321.88
10/22/2008,231.32,231.32,0,231.32
10/23/2008,406.02,406.02,0,406.02
10/24/2008,452.22,452.22,0,452.22
10/25/2008,750.14,750.14,0,750.14
10/26/2008,374.38,374.38,0,374.38
10/27/2008,201.41,201.41,0,201.41
10/28/2008,156.29,156.29,0,156.29
10/29/2008,204.23,204.23,0,204.23
10/30/2008,273.87,273.87,0,273.87
10/31/2008,587.96,587.96,0,587.96
11/1/2008,754.35,754.35,0,754.35
11/2/2008,475.14,475.14,0,475.14
11/3/2008,334.58,334.58,0,334.58
11/4/2008,233.54,233.54,0,233.54
11/5/2008,253.86,253.86,0,253.86
11/6/2008,375.92,375.92,0,375.92
11/7/2008,863.51,863.51,0,863.51
11/8/2008,779.44,779.44,0,779.44
11/9/2008,308.14,308.14,0,308.14
11/10/2008,149.7,149.7,0,149.7
11/11/2008,268.85,268.85,0,268.85
11/12/2008,316.47,316.47,0,316.47
11/13/2008,221.92,221.92,0,221.92
11/14/2008,799.44,799.44,0,799.44
11/15/2008,593.82,593.82,0,593.82
11/16/2008,308.54,308.54,0,308.54
11/17/2008,133.4,133.4,0,133.4
11/18/2008,143.84,143.84,0,143.84
11/19/2008,392.03,392.03,0,392.03
11/20/2008,194.2,194.2,0,194.2
11/21/2008,452.28,452.28,0,452.28
11/22/2008,315.31,315.31,0,315.31
11/23/2008,342.23,342.23,0,342.23
11/24/2008,161.47,161.47,0,161.47
11/25/2008,214.52,214.52,0,214.52
11/26/2008,277.87,277.87,0,277.87
11/27/2008,,264.01,0,264.01
11/28/2008,460.89,460.89,0,460.89
11/29/2008,512.37,512.37,0,512.37
11/30/2008,333.6,333.6,0,333.6
12/1/2008,309.02,309.02,0,309.02
12/2/2008,114.26,114.26,0,114.26
12/3/2008,682.99,682.99,0,682.99
12/4/2008,232.29,232.29,0,232.29
12/5/2008,355.61,355.61,0,355.61
12/6/2008,298.62,298.62,0,298.62
12/7/2008,116.22,116.22,0,116.22
12/8/2008,98.06,98.06,0,98.06
12/9/2008,262.21,262.21,0,262.21
12/10/2008,279.21,279.21,0,279.21
12/11/2008,128.28,128.28,0,128.28
12/12/2008,414.43,414.43,0,414.43
12/13/2008,392.38,392.38,0,392.38
12/14/2008,226.72,226.72,0,226.72
12/15/2008,234.32,234.32,0,234.32
12/16/2008,243.2,243.2,0,243.2
12/17/2008,174.32,174.32,0,174.32
12/18/2008,421.98,421.98,0,421.98
12/19/2008,415.17,415.17,0,415.17
12/20/2008,382.42,382.42,0,382.42
12/21/2008,97.29,97.29,0,97.29
12/22/2008,187.66,187.66,0,187.66
12/23/2008,239.01,239.01,0,239.01
12/24/2008,149.38,149.38,0,149.38
12/25/2008,,260.85,0,260.85
12/26/2008,,395.07,0,395.07
12/27/2008,,357.81,0,357.81
12/28/2008,,193.46,0,193.46
12/29/2008,,207.27,0,207.27
12/30/2008,,214.67,0,214.67
12/31/2008,,321.48,0,321.48
1/1/2009,,260.85,0,260.85
1/2/2009,424.97,424.97,0,424.97
1/3/2009,459.39,459.39,0,459.39
1/4/2009,247.05,247.05,0,247.05
1/5/2009,185.45,185.45,0,185.45
1/6/2009,86.71,86.71,0,86.71
1/7/2009,111.42,111.42,0,111.42
1/8/2009,122.17,122.17,0,122.17
1/9/2009,235.8,235.8,0,235.8
1/10/2009,423.01,423.01,0,423.01
1/11/2009,201.86,201.86,0,201.86
1/12/2009,168.38,168.38,0,168.38
1/13/2009,198.83,198.83,0,198.83
1/14/2009,208.91,208.91,0,208.91
1/15/2009,174.76,174.76,0,174.76
1/16/2009,173.43,173.43,0,173.43
1/17/2009,317.94,317.94,0,317.94
1/18/2009,250.83,250.83,0,250.83
1/19/2009,195.7,195.7,0,195.7
1/20/2009,148.43,148.43,0,148.43
1/21/2009,457.72,457.72,0,457.72
1/22/2009,181.76,181.76,0,181.76
1/23/2009,558.44,558.44,0,558.44
1/24/2009,602.98,602.98,0,602.98
1/25/2009,326.85,326.85,0,326.85
1/26/2009,84.53,84.53,0,84.53
1/27/2009,59.59,59.59,0,59.59
1/28/2009,173.79,173.79,0,173.79
1/29/2009,207.42,207.42,0,207.42
1/30/2009,347.5,347.5,0,347.5
1/31/2009,541.19,541.19,0,541.19
2/1/2009,265.03,265.03,0,265.03
2/2/2009,138.45,138.45,0,138.45
2/3/2009,197.97,197.97,0,197.97
2/4/2009,235.02,235.02,0,235.02
2/5/2009,260.51,260.51,0,260.51
2/6/2009,460.25,460.25,0,460.25
2/7/2009,962.21,962.21,0,962.21
2/8/2009,358.58,358.58,0,358.58
2/9/2009,245.84,245.84,0,245.84
2/10/2009,360.15,360.15,0,360.15
2/11/2009,283.08,283.08,0,283.08
2/12/2009,184.95,184.95,0,184.95
2/13/2009,372.08,372.08,0,372.08
2/14/2009,843.46,843.46,0,843.46
2/15/2009,462.77,462.77,0,462.77
2/16/2009,182.97,182.97,0,182.97
2/17/2009,177.38,177.38,0,177.38
2/18/2009,255.27,255.27,0,255.27
2/19/2009,257.9,257.9,0,257.9
